,lat,lon,months_open,num_items_sold,state_pop
426,32.791762,-115.548786,4,10,38802500.0
427,32.791938,-117.254513,12,10,38802500.0
428,32.794701,-116.960239,5,11,38802500.0
429,32.796952,-117.253647,12,21,38802500.0
430,32.8021,-107.94,6,13,2085572.0
431,32.802685,-81.936127,6,5,10097343.0
432,32.80821,-85.16991,3,4,4849377.0
433,32.829427,-96.706935,10,24,26956958.0
434,32.833797,-83.646551,12,18,10097343.0
435,32.834074,-87.881618,8,0,4849377.0
436,32.838311,-83.628616,12,11,10097343.0
437,32.847217,-84.846618,5,0,10097343.0
438,32.852133,-116.999234,12,18,38802500.0
439,32.85889,-117.222193,12,15,38802500.0
440,32.860727,-96.809345,5,16,26956958.0
441,32.864486,-85.035757,12,16,10097343.0
442,32.866178,-96.76478,9,20,26956958.0
443,32.878533,-117.236148,10,4,38802500.0
444,32.881501,-79.983192,6,15,4832482.0
445,32.8906,-84.3264,12,0,10097343.0
446,32.903596,-80.66095,6,14,4832482.0
447,32.914096,-105.960991,5,13,2085572.0
448,32.91785,-96.89528,5,12,26956958.0
449,32.92649,-105.9606,12,2,2085572.0
450,32.926757,-97.243807,7,21,26956958.0
451,32.931234,-96.459709,5,11,26956958.0
452,32.935538,-117.095507,12,17,38802500.0
453,32.9446,-85.9547,5,13,4849377.0
454,32.952867,-97.007022,8,23,26956958.0
455,32.957356,-105.740595,4,11,2085572.0
456,32.957692,-95.289646,7,19,26956958.0
457,32.9647,-84.2304,8,12,10097343.0
458,32.969289,-117.03614,12,23,38802500.0
459,32.977263,-96.743055,12,19,26956958.0
460,32.977879,-96.743052,11,16,26956958.0
461,32.978133,-80.025282,7,6,4832482.0
462,32.987194,-117.269204,12,21,38802500.0
463,33.018378,-80.17712,9,22,4832482.0
464,33.032751,-117.046657,12,19,38802500.0
465,33.03448,-116.8821,12,13,38802500.0
466,33.036661,-83.939704,6,13,10097343.0
467,33.043816,-117.292563,12,11,38802500.0
468,33.06704,-117.067097,12,11,38802500.0
469,33.07966,-106.0109,5,7,2085572.0
470,33.081869,-83.224579,7,13,10097343.0
471,33.082101,-83.224575,12,19,10097343.0
472,33.096,-86.76804,5,11,4849377.0
473,33.099164,-79.46902,4,18,4832482.0
474,33.099545,-86.862893,3,11,4849377.0
475,33.1023,-84.3424,7,6,10097343.0
476,33.103356,-84.343912,12,20,10097343.0
477,33.105936,-94.877911,7,16,26956958.0
478,33.123064,-117.079011,12,18,38802500.0
479,33.1234,-85.573055,4,10,4849377.0
480,33.123917,-91.961473,12,0,2966369.0
481,33.129283,-107.248675,7,13,2085572.0
482,33.135686,-117.190931,12,16,38802500.0
483,33.138224,-89.053209,4,8,2994079.0
484,33.138248,-95.600955,5,20,26956958.0
485,33.151201,-96.832204,6,13,26956958.0
486,33.172874,-80.038141,12,13,4832482.0
487,33.178271,-96.887376,6,15,26956958.0
488,33.188557,-95.221465,9,13,26956958.0
489,33.188902,-95.221391,9,11,26956958.0
490,33.191027,-117.25581,12,23,38802500.0
491,33.193564,-80.003717,9,15,4832482.0
492,33.193898,-96.612976,8,23,26956958.0
493,33.193898,-96.612976,6,12,26956958.0
494,33.19621,-117.381063,12,10,38802500.0
495,33.196762,-117.380262,12,20,38802500.0
496,33.210148,-92.6624,6,16,2966369.0
497,33.212553,-88.568001,6,2,2994079.0
498,33.213199,-97.136403,8,19,26956958.0
499,33.21554,-111.809769,8,0,6731484.0
