,state,lon,lat,months_open,num_items_sold,state_pop,name
295,Georgia,31.235752,-82.381851,7.0,14.0,10097343.0,
296,Mississippi,31.244763,-90.451993,6.0,14.0,2994079.0,
297,Mississippi,31.251987,-89.836115,9.0,15.0,2994079.0,
298,Louisiana,31.294132,-92.466449,12.0,11.0,4649676.0,
299,Alabama,31.307349,-85.714656,2.0,8.0,4849377.0,
300,Mississippi,31.312869,-89.47346,11.0,11.0,2994079.0,
301,Alabama,31.313773,-85.855052,12.0,11.0,4849377.0,
302,Texas,31.321061,-94.697749,12.0,16.0,26956958.0,
303,Mississippi,31.324433,-89.287734,8.0,20.0,2994079.0,
304,Arizona,31.335533,-110.939547,7.0,10.0,6731484.0,
305,Georgia,31.344282,-83.499763,12.0,11.0,10097343.0,
306,Arizona,31.407193,-109.878248,12.0,21.0,6731484.0,
307,Alabama,31.414706,-86.065699,12.0,11.0,4849377.0,
308,Alabama,31.433057,-86.956701,5.0,12.0,4849377.0,
309,Georgia,31.452692,-83.508489,6.0,12.0,10097343.0,
310,Georgia,31.464378,-83.533784,7.0,12.0,10097343.0,
311,Georgia,31.520867,-84.86605,12.0,15.0,10097343.0,
312,Georgia,31.525223,-83.835655,6.0,6.0,10097343.0,
313,Arizona,31.552031,-110.303322,12.0,14.0,6731484.0,
314,Arizona,31.555329,-110.266951,12.0,24.0,6731484.0,
315,Texas,31.55682,-97.132941,12.0,20.0,26956958.0,
316,Alabama,31.571271,-85.250365,2.0,0.0,4849377.0,
317,Georgia,31.57684,-84.15366,8.0,5.0,10097343.0,
318,Mississippi,31.577228,-90.443865,4.0,11.0,2994079.0,
319,Georgia,31.610032,-81.882137,7.0,9.0,10097343.0,
320,Arizona,31.615182,-111.307724,12.0,12.0,6731484.0,
321,Alabama,31.64705,-85.674054,12.0,7.0,4849377.0,
322,Mississippi,31.692522,-89.130033,3.0,17.0,2994079.0,
323,Alabama,31.707814,-85.619065,12.0,10.0,4849377.0,
324,Alabama,31.709834,-87.776726,6.0,7.0,4849377.0,
325,Georgia,31.713647,-83.251846,12.0,2.0,10097343.0,
326,Texas,31.756883,-106.494288,12.0,23.0,26956958.0,
327,Louisiana,31.760976,-93.086021,4.0,14.0,4649676.0,
328,New Mexico,31.791358,-106.557437,8.0,22.0,2085572.0,
329,Alabama,31.809192,-85.971383,7.0,4.0,4849377.0,
330,Louisiana,31.820457,-92.328323,4.0,4.0,4649676.0,
331,Alabama,31.830281,-86.617709,8.0,13.0,4849377.0,
332,Mississippi,31.861084,-90.394263,6.0,12.0,2994079.0,
333,Arizona,31.868208,-110.993448,8.0,22.0,6731484.0,
334,Texas,31.922803,-97.657307,6.0,12.0,26956958.0,
335,Louisiana,31.926686,-92.640699,3.0,7.0,4649676.0,
336,Arizona,31.969911,-110.968242,12.0,23.0,6731484.0,
337,Mississippi,31.987521,-90.358772,1.0,10.0,2994079.0,
